Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 3.932237e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011044 | lrm: 1.00 | dt: 24086ms | tok/sec: 21,767 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.089343 | lrm: 1.00 | dt: 466ms | tok/sec: 1,124,806 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.928894 | lrm: 1.00 | dt: 428ms | tok/sec: 1,225,946 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.583807 | lrm: 1.00 | dt: 567ms | tok/sec: 924,039 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.274641 | lrm: 1.00 | dt: 460ms | tok/sec: 1,138,995 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.003890 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,371 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.776306 | lrm: 1.00 | dt: 462ms | tok/sec: 1,134,092 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.563563 | lrm: 1.00 | dt: 613ms | tok/sec: 855,348 | mfu: 3.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.367335 | lrm: 1.00 | dt: 569ms | tok/sec: 922,051 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.180249 | lrm: 1.00 | dt: 474ms | tok/sec: 1,105,724 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.011292 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,068 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.862335 | lrm: 1.00 | dt: 449ms | tok/sec: 1,168,649 | mfu: 4.6% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.725455 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,259 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.604217 | lrm: 1.00 | dt: 439ms | tok/sec: 1,195,158 | mfu: 4.7% | epoch: 1 | remaining: 299s    
step 00153 (21.7%) | loss: 3.802691 | lrm: 1.00 | dt: 399ms | tok/sec: 1,314,259 | mfu: 5.2% | epoch: 1 | remaining: 235s    
step 00154 (21.8%) | loss: 3.796790 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,595 | mfu: 5.4% | epoch: 1 | remaining: 234s    
step 00155 (21.9%) | loss: 3.779425 | lrm: 1.00 | dt: 391ms | tok/sec: 1,340,394 | mfu: 5.3% | epoch: 1 | remaining: 234s    
step 00156 (22.1%) | loss: 3.773596 | lrm: 1.00 | dt: 403ms | tok/sec: 1,299,974 | mfu: 5.2% | epoch: 1 | remaining: 233s    
step 00157 (22.2%) | loss: 3.770305 | lrm: 1.00 | dt: 422ms | tok/sec: 1,241,429 | mfu: 4.9% | epoch: 1 | remaining: 233s    
step 00158 (22.4%) | loss: 3.774763 | lrm: 1.00 | dt: 391ms | tok/sec: 1,341,224 | mfu: 5.3% | epoch: 1 | remaining: 233s    
step 00159 (22.5%) | loss: 3.773453 | lrm: 1.00 | dt: 414ms | tok/sec: 1,264,982 | mfu: 5.0% | epoch: 1 | remaining: 232s    
step 00160 (22.6%) | loss: 3.768277 | lrm: 1.00 | dt: 408ms | tok/sec: 1,285,267 | mfu: 5.1% | epoch: 1 | remaining: 232s    
step 00161 (22.8%) | loss: 3.773589 | lrm: 1.00 | dt: 422ms | tok/sec: 1,242,030 | mfu: 4.9% | epoch: 1 | remaining: 231s    
step 00162 (22.9%) | loss: 3.772111 | lrm: 1.00 | dt: 425ms | tok/sec: 1,233,282 | mfu: 4.9% | epoch: 1 | remaining: 231s    
step 00163 (23.0%) | loss: 3.756312 | lrm: 1.00 | dt: 407ms | tok/sec: 1,289,609 | mfu: 5.1% | epoch: 1 | remaining: 230s    
step 00164 (23.2%) | loss: 3.759370 | lrm: 1.00 | dt: 401ms | tok/sec: 1,306,391 | mfu: 5.2% | epoch: 1 | remaining: 230s    
step 00165 (23.3%) | loss: 3.761317 | lrm: 1.00 | dt: 375ms | tok/sec: 1,399,045 | mfu: 5.6% | epoch: 1 | remaining: 230s    
step 00166 (23.4%) | loss: 3.765508 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,411 | mfu: 5.1% | epoch: 1 | remaining: 229s    
step 00167 (23.6%) | loss: 3.761938 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,149 | mfu: 5.1% | epoch: 1 | remaining: 229s    
step 00168 (23.7%) | loss: 3.749360 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,879 | mfu: 5.4% | epoch: 1 | remaining: 228s    
step 00169 (23.8%) | loss: 3.747981 | lrm: 1.00 | dt: 407ms | tok/sec: 1,286,814 | mfu: 5.1% | epoch: 1 | remaining: 228s    
step 00170 (24.0%) | loss: 3.743757 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,809 | mfu: 5.4% | epoch: 1 | remaining: 228s    
step 00171 (24.1%) | loss: 3.733458 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,375 | mfu: 5.4% | epoch: 1 | remaining: 227s    
step 00172 (24.2%) | loss: 3.735230 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,120 | mfu: 5.2% | epoch: 1 | remaining: 227s    
step 00173 (24.4%) | loss: 3.732216 | lrm: 1.00 | dt: 454ms | tok/sec: 1,154,751 | mfu: 4.6% | epoch: 1 | remaining: 226s    
step 00174 (24.5%) | loss: 3.724633 | lrm: 1.00 | dt: 383ms | tok/sec: 1,369,682 | mfu: 5.4% | epoch: 1 | remaining: 226s    
step 00175 (24.6%) | loss: 3.713454 | lrm: 1.00 | dt: 428ms | tok/sec: 1,226,162 | mfu: 4.9% | epoch: 1 | remaining: 226s    
step 00176 (24.8%) | loss: 3.711013 | lrm: 1.00 | dt: 426ms | tok/sec: 1,231,378 | mfu: 4.9% | epoch: 1 | remaining: 225s    
step 00177 (24.9%) | loss: 3.703667 | lrm: 1.00 | dt: 382ms | tok/sec: 1,371,287 | mfu: 5.4% | epoch: 1 | remaining: 225s    
step 00178 (25.1%) | loss: 3.707502 | lrm: 1.00 | dt: 393ms | tok/sec: 1,334,381 | mfu: 5.3% | epoch: 1 | remaining: 224s    
step 00179 (25.2%) | loss: 3.700352 | lrm: 1.00 | dt: 411ms | tok/sec: 1,275,130 | mfu: 5.1% | epoch: 1 | remaining: 224s    
step 00180 (25.3%) | loss: 3.692078 | lrm: 1.00 | dt: 384ms | tok/sec: 1,366,916 | mfu: 5.4% | epoch: 1 | remaining: 224s    
step 00181 (25.5%) | loss: 3.689699 | lrm: 1.00 | dt: 384ms | tok/sec: 1,364,297 | mfu: 5.4% | epoch: 1 | remaining: 223s    
step 00182 (25.6%) | loss: 3.694319 | lrm: 1.00 | dt: 389ms | tok/sec: 1,348,447 | mfu: 5.4% | epoch: 1 | remaining: 223s    
step 00183 (25.7%) | loss: 3.693580 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,986 | mfu: 5.3% | epoch: 1 | remaining: 222s    
step 00184 (25.8%) | loss: 3.693373 | lrm: 1.00 | dt: 496ms | tok/sec: 1,055,983 | mfu: 4.2% | epoch: 1 | remaining: 222s    
step 00185 (26.0%) | loss: 3.695090 | lrm: 1.00 | dt: 393ms | tok/sec: 1,334,947 | mfu: 5.3% | epoch: 1 | remaining: 222s    
step 00186 (26.1%) | loss: 3.691929 | lrm: 1.00 | dt: 375ms | tok/sec: 1,398,855 | mfu: 5.6% | epoch: 1 | remaining: 221s    
step 00187 (26.3%) | loss: 3.678986 | lrm: 1.00 | dt: 425ms | tok/sec: 1,232,621 | mfu: 4.9% | epoch: 1 | remaining: 221s    
step 00188 (26.4%) | loss: 3.669730 | lrm: 1.00 | dt: 451ms | tok/sec: 1,161,349 | mfu: 4.6% | epoch: 1 | remaining: 220s    
step 00189 (26.6%) | loss: 3.678048 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,245 | mfu: 5.3% | epoch: 1 | remaining: 220s    
step 00190 (26.7%) | loss: 3.673916 | lrm: 1.00 | dt: 423ms | tok/sec: 1,240,817 | mfu: 4.9% | epoch: 1 | remaining: 220s    
step 00191 (26.8%) | loss: 3.679680 | lrm: 1.00 | dt: 393ms | tok/sec: 1,333,995 | mfu: 5.3% | epoch: 1 | remaining: 219s    
step 00192 (27.0%) | loss: 3.674842 | lrm: 1.00 | dt: 461ms | tok/sec: 1,137,891 | mfu: 4.5% | epoch: 1 | remaining: 219s    
step 00193 (27.1%) | loss: 3.678441 | lrm: 1.00 | dt: 413ms | tok/sec: 1,268,099 | mfu: 5.0% | epoch: 1 | remaining: 218s    
step 00194 (27.2%) | loss: 3.674913 | lrm: 1.00 | dt: 375ms | tok/sec: 1,397,606 | mfu: 5.6% | epoch: 1 | remaining: 218s    
step 00195 (27.4%) | loss: 3.674076 | lrm: 1.00 | dt: 404ms | tok/sec: 1,297,498 | mfu: 5.2% | epoch: 1 | remaining: 217s    
step 00196 (27.5%) | loss: 3.662570 | lrm: 1.00 | dt: 399ms | tok/sec: 1,314,962 | mfu: 5.2% | epoch: 1 | remaining: 217s    
step 00197 (27.6%) | loss: 3.663316 | lrm: 1.00 | dt: 394ms | tok/sec: 1,329,959 | mfu: 5.3% | epoch: 1 | remaining: 217s    
step 00198 (27.8%) | loss: 3.652632 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,752 | mfu: 5.0% | epoch: 1 | remaining: 216s    
step 00199 (27.9%) | loss: 3.651725 | lrm: 1.00 | dt: 385ms | tok/sec: 1,362,646 | mfu: 5.4% | epoch: 1 | remaining: 216s    
step 00200 (28.0%) | loss: 3.649428 | lrm: 1.00 | dt: 371ms | tok/sec: 1,411,615 | mfu: 5.6% | epoch: 1 | remaining: 216s    
step 00201 (28.2%) | loss: 3.649085 | lrm: 1.00 | dt: 459ms | tok/sec: 1,143,046 | mfu: 4.5% | epoch: 1 | remaining: 215s    
step 00202 (28.3%) | loss: 3.653865 | lrm: 1.00 | dt: 488ms | tok/sec: 1,073,987 | mfu: 4.3% | epoch: 1 | remaining: 215s    
step 00203 (28.5%) | loss: 3.655184 | lrm: 1.00 | dt: 443ms | tok/sec: 1,184,295 | mfu: 4.7% | epoch: 1 | remaining: 214s    
step 00204 (28.6%) | loss: 3.657575 | lrm: 1.00 | dt: 486ms | tok/sec: 1,078,155 | mfu: 4.3% | epoch: 1 | remaining: 214s    
step 00205 (28.8%) | loss: 3.644491 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,554 | mfu: 5.1% | epoch: 1 | remaining: 213s    
step 00206 (28.9%) | loss: 3.638735 | lrm: 1.00 | dt: 454ms | tok/sec: 1,155,978 | mfu: 4.6% | epoch: 1 | remaining: 213s    
step 00207 (29.1%) | loss: 3.639353 | lrm: 1.00 | dt: 519ms | tok/sec: 1,009,302 | mfu: 4.0% | epoch: 1 | remaining: 212s    
step 00208 (29.3%) | loss: 3.636382 | lrm: 1.00 | dt: 509ms | tok/sec: 1,030,097 | mfu: 4.1% | epoch: 1 | remaining: 212s    
step 00209 (29.4%) | loss: 3.643331 | lrm: 1.00 | dt: 579ms | tok/sec: 905,573 | mfu: 3.6% | epoch: 1 | remaining: 211s    
step 00210 (29.6%) | loss: 3.642549 | lrm: 1.00 | dt: 509ms | tok/sec: 1,030,666 | mfu: 4.1% | epoch: 1 | remaining: 211s    
step 00211 (29.8%) | loss: 3.644183 | lrm: 1.00 | dt: 553ms | tok/sec: 947,539 | mfu: 3.8% | epoch: 1 | remaining: 210s    
step 00212 (30.0%) | loss: 3.638435 | lrm: 1.00 | dt: 432ms | tok/sec: 1,214,346 | mfu: 4.8% | epoch: 1 | remaining: 210s    
step 00213 (30.1%) | loss: 3.627623 | lrm: 1.00 | dt: 549ms | tok/sec: 955,580 | mfu: 3.8% | epoch: 1 | remaining: 209s    
step 00214 (30.3%) | loss: 3.627037 | lrm: 1.00 | dt: 452ms | tok/sec: 1,160,819 | mfu: 4.6% | epoch: 1 | remaining: 209s    
step 00215 (30.4%) | loss: 3.627408 | lrm: 1.00 | dt: 588ms | tok/sec: 891,564 | mfu: 3.5% | epoch: 1 | remaining: 208s    
step 00216 (30.6%) | loss: 3.632949 | lrm: 1.00 | dt: 483ms | tok/sec: 1,086,509 | mfu: 4.3% | epoch: 1 | remaining: 208s    
step 00217 (30.8%) | loss: 3.642196 | lrm: 1.00 | dt: 421ms | tok/sec: 1,245,978 | mfu: 5.0% | epoch: 1 | remaining: 207s    
step 00218 (30.9%) | loss: 3.642071 | lrm: 1.00 | dt: 496ms | tok/sec: 1,058,016 | mfu: 4.2% | epoch: 1 | remaining: 207s    
step 00219 (31.1%) | loss: 3.640926 | lrm: 1.00 | dt: 576ms | tok/sec: 909,534 | mfu: 3.6% | epoch: 1 | remaining: 206s    
step 00220 (31.3%) | loss: 3.649255 | lrm: 1.00 | dt: 456ms | tok/sec: 1,149,219 | mfu: 4.6% | epoch: 1 | remaining: 206s    
step 00221 (31.5%) | loss: 3.646086 | lrm: 1.00 | dt: 447ms | tok/sec: 1,171,648 | mfu: 4.7% | epoch: 1 | remaining: 205s    
step 00222 (31.6%) | loss: 3.637441 | lrm: 1.00 | dt: 467ms | tok/sec: 1,122,520 | mfu: 4.5% | epoch: 1 | remaining: 205s    
step 00223 (31.8%) | loss: 3.636592 | lrm: 1.00 | dt: 410ms | tok/sec: 1,279,276 | mfu: 5.1% | epoch: 1 | remaining: 204s    
step 00224 (31.9%) | loss: 3.628478 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,153 | mfu: 4.8% | epoch: 1 | remaining: 204s    
step 00225 (32.0%) | loss: 3.620915 | lrm: 1.00 | dt: 487ms | tok/sec: 1,077,074 | mfu: 4.3% | epoch: 1 | remaining: 203s    
step 00226 (32.2%) | loss: 3.627882 | lrm: 1.00 | dt: 376ms | tok/sec: 1,392,969 | mfu: 5.5% | epoch: 1 | remaining: 203s    
step 00227 (32.3%) | loss: 3.634524 | lrm: 1.00 | dt: 451ms | tok/sec: 1,163,092 | mfu: 4.6% | epoch: 1 | remaining: 203s    
step 00228 (32.5%) | loss: 3.630918 | lrm: 1.00 | dt: 509ms | tok/sec: 1,030,008 | mfu: 4.1% | epoch: 1 | remaining: 202s    
step 00229 (32.6%) | loss: 3.630885 | lrm: 1.00 | dt: 420ms | tok/sec: 1,248,427 | mfu: 5.0% | epoch: 1 | remaining: 202s    
step 00230 (32.8%) | loss: 3.623952 | lrm: 1.00 | dt: 434ms | tok/sec: 1,207,050 | mfu: 4.8% | epoch: 1 | remaining: 201s    
step 00231 (32.9%) | loss: 3.617307 | lrm: 1.00 | dt: 447ms | tok/sec: 1,174,090 | mfu: 4.7% | epoch: 1 | remaining: 201s    
step 00232 (33.1%) | loss: 3.621093 | lrm: 1.00 | dt: 493ms | tok/sec: 1,063,291 | mfu: 4.2% | epoch: 1 | remaining: 200s    
step 00233 (33.2%) | loss: 3.621909 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,462 | mfu: 5.3% | epoch: 1 | remaining: 200s    
step 00234 (33.4%) | loss: 3.624867 | lrm: 1.00 | dt: 367ms | tok/sec: 1,426,821 | mfu: 5.7% | epoch: 1 | remaining: 200s    
step 00235 (33.5%) | loss: 3.625023 | lrm: 1.00 | dt: 428ms | tok/sec: 1,226,026 | mfu: 4.9% | epoch: 1 | remaining: 199s    
step 00236 (33.6%) | loss: 3.621718 | lrm: 1.00 | dt: 443ms | tok/sec: 1,183,955 | mfu: 4.7% | epoch: 1 | remaining: 199s    
step 00237 (33.8%) | loss: 3.616741 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,506 | mfu: 5.4% | epoch: 1 | remaining: 198s    
step 00238 (33.9%) | loss: 3.617152 | lrm: 1.00 | dt: 415ms | tok/sec: 1,263,261 | mfu: 5.0% | epoch: 1 | remaining: 198s    
step 00239 (34.1%) | loss: 3.612964 | lrm: 1.00 | dt: 499ms | tok/sec: 1,050,584 | mfu: 4.2% | epoch: 1 | remaining: 197s    
step 00240 (34.2%) | loss: 3.602124 | lrm: 1.00 | dt: 364ms | tok/sec: 1,440,988 | mfu: 5.7% | epoch: 1 | remaining: 197s    
step 00241 (34.3%) | loss: 3.598732 | lrm: 1.00 | dt: 425ms | tok/sec: 1,232,718 | mfu: 4.9% | epoch: 1 | remaining: 197s    
step 00242 (34.5%) | loss: 3.590836 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,771 | mfu: 5.0% | epoch: 1 | remaining: 196s    
step 00243 (34.6%) | loss: 3.589036 | lrm: 1.00 | dt: 404ms | tok/sec: 1,296,700 | mfu: 5.2% | epoch: 1 | remaining: 196s    
step 00244 (34.8%) | loss: 3.584273 | lrm: 1.00 | dt: 399ms | tok/sec: 1,315,339 | mfu: 5.2% | epoch: 1 | remaining: 195s    
step 00245 (34.9%) | loss: 3.578766 | lrm: 1.00 | dt: 406ms | tok/sec: 1,291,947 | mfu: 5.1% | epoch: 1 | remaining: 195s    
step 00246 (35.0%) | loss: 3.580296 | lrm: 1.00 | dt: 432ms | tok/sec: 1,213,023 | mfu: 4.8% | epoch: 1 | remaining: 194s    
step 00247 (35.2%) | loss: 3.579028 | lrm: 1.00 | dt: 383ms | tok/sec: 1,369,567 | mfu: 5.4% | epoch: 1 | remaining: 194s    
step 00248 (35.3%) | loss: 3.585017 | lrm: 1.00 | dt: 386ms | tok/sec: 1,357,144 | mfu: 5.4% | epoch: 1 | remaining: 194s    
step 00249 (35.4%) | loss: 3.589647 | lrm: 1.00 | dt: 397ms | tok/sec: 1,321,209 | mfu: 5.3% | epoch: 1 | remaining: 193s    
step 00250 (35.6%) | loss: 3.586762 | lrm: 1.00 | dt: 406ms | tok/sec: 1,291,701 | mfu: 5.1% | epoch: 1 | remaining: 193s    
step 00251 (35.7%) | loss: 3.591677 | lrm: 1.00 | dt: 399ms | tok/sec: 1,313,565 | mfu: 5.2% | epoch: 1 | remaining: 193s    
step 00252 (35.8%) | loss: 3.596017 | lrm: 1.00 | dt: 404ms | tok/sec: 1,298,432 | mfu: 5.2% | epoch: 1 | remaining: 192s    
step 00253 (36.0%) | loss: 3.585357 | lrm: 1.00 | dt: 375ms | tok/sec: 1,396,532 | mfu: 5.5% | epoch: 1 | remaining: 192s    
step 00254 (36.1%) | loss: 3.589222 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,840 | mfu: 5.1% | epoch: 1 | remaining: 191s    
step 00255 (36.2%) | loss: 3.583495 | lrm: 1.00 | dt: 417ms | tok/sec: 1,257,692 | mfu: 5.0% | epoch: 1 | remaining: 191s    
step 00256 (36.4%) | loss: 3.583486 | lrm: 1.00 | dt: 401ms | tok/sec: 1,305,871 | mfu: 5.2% | epoch: 1 | remaining: 191s    
step 00257 (36.5%) | loss: 3.584649 | lrm: 1.00 | dt: 435ms | tok/sec: 1,204,874 | mfu: 4.8% | epoch: 1 | remaining: 190s    
step 00258 (36.6%) | loss: 3.578905 | lrm: 1.00 | dt: 409ms | tok/sec: 1,281,109 | mfu: 5.1% | epoch: 1 | remaining: 190s    
step 00259 (36.8%) | loss: 3.580738 | lrm: 1.00 | dt: 415ms | tok/sec: 1,262,454 | mfu: 5.0% | epoch: 1 | remaining: 189s    
step 00260 (36.9%) | loss: 3.582190 | lrm: 1.00 | dt: 386ms | tok/sec: 1,358,721 | mfu: 5.4% | epoch: 1 | remaining: 189s    
step 00261 (37.0%) | loss: 3.581911 | lrm: 1.00 | dt: 427ms | tok/sec: 1,226,947 | mfu: 4.9% | epoch: 1 | remaining: 188s    
step 00262 (37.2%) | loss: 3.582125 | lrm: 1.00 | dt: 408ms | tok/sec: 1,284,754 | mfu: 5.1% | epoch: 1 | remaining: 188s    
step 00263 (37.3%) | loss: 3.582758 | lrm: 1.00 | dt: 457ms | tok/sec: 1,148,003 | mfu: 4.6% | epoch: 1 | remaining: 188s    
step 00264 (37.5%) | loss: 3.588682 | lrm: 1.00 | dt: 415ms | tok/sec: 1,264,311 | mfu: 5.0% | epoch: 1 | remaining: 187s    
step 00265 (37.6%) | loss: 3.591217 | lrm: 1.00 | dt: 378ms | tok/sec: 1,386,346 | mfu: 5.5% | epoch: 1 | remaining: 187s    
step 00266 (37.7%) | loss: 3.592357 | lrm: 1.00 | dt: 445ms | tok/sec: 1,176,863 | mfu: 4.7% | epoch: 1 | remaining: 186s    
step 00267 (37.9%) | loss: 3.590123 | lrm: 1.00 | dt: 388ms | tok/sec: 1,351,011 | mfu: 5.4% | epoch: 1 | remaining: 186s    
step 00268 (38.0%) | loss: 3.596478 | lrm: 1.00 | dt: 379ms | tok/sec: 1,384,392 | mfu: 5.5% | epoch: 1 | remaining: 186s    
step 00269 (38.1%) | loss: 3.589678 | lrm: 1.00 | dt: 410ms | tok/sec: 1,277,562 | mfu: 5.1% | epoch: 1 | remaining: 185s    
step 00270 (38.3%) | loss: 3.591102 | lrm: 1.00 | dt: 448ms | tok/sec: 1,170,509 | mfu: 4.7% | epoch: 1 | remaining: 185s    
step 00271 (38.4%) | loss: 3.586840 | lrm: 1.00 | dt: 424ms | tok/sec: 1,235,409 | mfu: 4.9% | epoch: 1 | remaining: 184s    
step 00272 (38.6%) | loss: 3.588478 | lrm: 1.00 | dt: 371ms | tok/sec: 1,413,604 | mfu: 5.6% | epoch: 1 | remaining: 184s    
step 00273 (38.7%) | loss: 3.585255 | lrm: 1.00 | dt: 396ms | tok/sec: 1,322,513 | mfu: 5.3% | epoch: 1 | remaining: 184s    
step 00274 (38.8%) | loss: 3.576590 | lrm: 1.00 | dt: 406ms | tok/sec: 1,291,911 | mfu: 5.1% | epoch: 1 | remaining: 183s    
step 00275 (39.0%) | loss: 3.570039 | lrm: 1.00 | dt: 427ms | tok/sec: 1,227,975 | mfu: 4.9% | epoch: 1 | remaining: 183s    
step 00276 (39.1%) | loss: 3.575382 | lrm: 1.00 | dt: 386ms | tok/sec: 1,358,801 | mfu: 5.4% | epoch: 1 | remaining: 182s    
step 00277 (39.2%) | loss: 3.573568 | lrm: 1.00 | dt: 358ms | tok/sec: 1,465,642 | mfu: 5.8% | epoch: 1 | remaining: 182s    
step 00278 (39.3%) | loss: 3.572377 | lrm: 1.00 | dt: 435ms | tok/sec: 1,205,522 | mfu: 4.8% | epoch: 1 | remaining: 182s    
step 00279 (39.5%) | loss: 3.570825 | lrm: 1.00 | dt: 367ms | tok/sec: 1,429,452 | mfu: 5.7% | epoch: 1 | remaining: 181s    
step 00280 (39.6%) | loss: 3.576574 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,992 | mfu: 5.2% | epoch: 1 | remaining: 181s    
step 00281 (39.8%) | loss: 3.574789 | lrm: 1.00 | dt: 449ms | tok/sec: 1,167,320 | mfu: 4.6% | epoch: 1 | remaining: 180s    
step 00282 (39.9%) | loss: 3.571210 | lrm: 1.00 | dt: 402ms | tok/sec: 1,305,699 | mfu: 5.2% | epoch: 1 | remaining: 180s    
step 00283 (40.0%) | loss: 3.576790 | lrm: 1.00 | dt: 366ms | tok/sec: 1,433,298 | mfu: 5.7% | epoch: 1 | remaining: 180s    
step 00284 (40.2%) | loss: 3.575742 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,415 | mfu: 5.4% | epoch: 1 | remaining: 179s    
step 00285 (40.3%) | loss: 3.576446 | lrm: 1.00 | dt: 379ms | tok/sec: 1,382,036 | mfu: 5.5% | epoch: 1 | remaining: 179s    
step 00286 (40.4%) | loss: 3.577585 | lrm: 1.00 | dt: 420ms | tok/sec: 1,247,714 | mfu: 5.0% | epoch: 1 | remaining: 178s    
step 00287 (40.6%) | loss: 3.577878 | lrm: 1.00 | dt: 403ms | tok/sec: 1,301,016 | mfu: 5.2% | epoch: 1 | remaining: 178s    
step 00288 (40.7%) | loss: 3.587249 | lrm: 1.00 | dt: 485ms | tok/sec: 1,081,938 | mfu: 4.3% | epoch: 1 | remaining: 177s    
step 00289 (40.8%) | loss: 3.592441 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,646 | mfu: 5.1% | epoch: 1 | remaining: 177s    
step 00290 (41.0%) | loss: 3.604207 | lrm: 1.00 | dt: 474ms | tok/sec: 1,105,588 | mfu: 4.4% | epoch: 1 | remaining: 177s    
step 00291 (41.1%) | loss: 3.605751 | lrm: 1.00 | dt: 430ms | tok/sec: 1,220,277 | mfu: 4.8% | epoch: 1 | remaining: 176s    
step 00292 (41.3%) | loss: 3.596684 | lrm: 1.00 | dt: 471ms | tok/sec: 1,112,267 | mfu: 4.4% | epoch: 1 | remaining: 176s    
step 00293 (41.4%) | loss: 3.589430 | lrm: 1.00 | dt: 443ms | tok/sec: 1,182,409 | mfu: 4.7% | epoch: 1 | remaining: 175s    
step 00294 (41.6%) | loss: 3.578002 | lrm: 1.00 | dt: 446ms | tok/sec: 1,175,071 | mfu: 4.7% | epoch: 1 | remaining: 175s    
step 00295 (41.7%) | loss: 3.584682 | lrm: 1.00 | dt: 503ms | tok/sec: 1,042,043 | mfu: 4.1% | epoch: 1 | remaining: 174s    
step 00296 (41.9%) | loss: 3.578486 | lrm: 1.00 | dt: 475ms | tok/sec: 1,104,223 | mfu: 4.4% | epoch: 1 | remaining: 174s    
step 00297 (42.1%) | loss: 3.583211 | lrm: 1.00 | dt: 527ms | tok/sec: 995,039 | mfu: 4.0% | epoch: 1 | remaining: 173s    
step 00298 (42.2%) | loss: 3.584704 | lrm: 1.00 | dt: 529ms | tok/sec: 991,458 | mfu: 3.9% | epoch: 1 | remaining: 173s    
step 00299 (42.4%) | loss: 3.580818 | lrm: 1.00 | dt: 426ms | tok/sec: 1,229,921 | mfu: 4.9% | epoch: 1 | remaining: 172s    
step 00300 (42.6%) | loss: 3.566882 | lrm: 1.00 | dt: 484ms | tok/sec: 1,083,157 | mfu: 4.3% | epoch: 1 | remaining: 172s    
step 00301 (42.7%) | loss: 3.570537 | lrm: 1.00 | dt: 567ms | tok/sec: 924,769 | mfu: 3.7% | epoch: 1 | remaining: 171s    
step 00302 (42.9%) | loss: 3.566000 | lrm: 1.00 | dt: 487ms | tok/sec: 1,077,218 | mfu: 4.3% | epoch: 1 | remaining: 171s    
step 00303 (43.1%) | loss: 3.566025 | lrm: 1.00 | dt: 456ms | tok/sec: 1,149,038 | mfu: 4.6% | epoch: 1 | remaining: 170s    
step 00304 (43.2%) | loss: 3.566951 | lrm: 1.00 | dt: 555ms | tok/sec: 943,825 | mfu: 3.8% | epoch: 1 | remaining: 170s    
step 00305 (43.4%) | loss: 3.564326 | lrm: 1.00 | dt: 492ms | tok/sec: 1,066,290 | mfu: 4.2% | epoch: 1 | remaining: 169s    
step 00306 (43.6%) | loss: 3.563862 | lrm: 1.00 | dt: 579ms | tok/sec: 906,063 | mfu: 3.6% | epoch: 1 | remaining: 169s    
step 00307 (43.8%) | loss: 3.558325 | lrm: 1.00 | dt: 547ms | tok/sec: 957,981 | mfu: 3.8% | epoch: 1 | remaining: 168s    
